region_1,country,coordinates
Pedernal Valley,Argentina,"[36.1975897, -106.1970498]"
Breganze,Italy,"[45.708245, 11.5574545]"
Tehama County,US,"[40.0982197, -122.174605]"
Siracusa,Italy,"[37.0754739, 15.2865861]"
Vin de Pays du Jardin de la France,France,"[43.433563, 6.1410059]"
Ischia,Italy,"[40.7270164, 13.9028656]"
Murray-Darling,Australia,"[-35.4092603, 143.762027]"
Saint-Péray,France,"[44.944816, 4.841902999999999]"
Castilla La Mancha,Spain,"[39.2795607, -3.097702]"
Muscadet Coteaux de la Loire,France,"[48.014277, 3.088529]"
Pays de Loire,France,"[47.7632836, -0.3299687]"
Carema,Italy,"[45.5826302, 7.8080102]"
Valpolicella Valpantena,Italy,"[45.5333333, 11]"
Ramona Valley,US,"[33.0466939, -116.8591631]"
Napa County-Lake County,US,"[38.4963694, -122.3617618]"
Prosecco di Valdobbiadene Superiore,Italy,"[45.915836, 12.166491]"
Colli Etruria Centrale,Italy,
Vin de Pays de l'Atlantique,France,"[44.8500585, -0.5712937]"
Côtes de Forez,France,"[38.8455446, -77.153937]"
Monthélie,France,"[46.99248799999999, 4.76562]"
Clos de Lambrays,France,
Clos de Tart,France,"[47.19577049999999, 4.9617952]"
Romanée-St.-Vivant,France,"[47.1615578, 4.9546375]"
Arizona,US,
Short Hills Bench,Canada,"[43.1076511, -79.2871392]"
Vin Doux Naturel Rasteau,France,
Aglianico del Beneventano,Italy,"[41.1393381, 14.7737095]"
Vin de Pays de la Haute Vallée du Gassac,France,"[49.1985936, -2.115017]"
Zonda Valley,Argentina,"[39.9317773, -86.2228832]"
Barbera di Piemonte,Italy,"[45.0522366, 7.5153885]"
Périgord,France,"[45.1854543, 0.7250863]"
Lanzarote,Spain,"[29.0468535, -13.5899733]"
Châteaumeillant,France,"[46.562103, 2.2018749]"
Napa,US,"[37.4123708, -94.703676]"
Erice,Italy,"[38.0380892, 12.5873511]"
Tuscany,Italy,"[43.7710513, 11.2486208]"
Similkameen Valley,Canada,"[49.1922372, -120.1272108]"
Bourgogne Côtes d’Auxerre,France,"[47.7436981, 3.6498547]"
Nardò,Italy,"[40.1798489, 18.0331588]"
Donnici,Italy,"[39.2574868, 16.2853141]"
Cabardes,France,"[43.266725, 2.284797]"
Dolcetto di Dogliani Superiore,Italy,"[44.5319723, 7.949748199999999]"
Bergerac Rosé,France,"[37.2360269, -121.8950681]"
Lamezia,Italy,"[38.962912, 16.3092719]"
Trentino Superiore,Italy,"[46.0638342, 11.1294106]"
Grave del Friuli,Italy,"[38.91057, -77.04091770000001]"
Hautes Cotes de Beaune,France,"[47.01346580000001, 4.815776100000001]"
Mâcon-Prissé,France,"[46.32179199999999, 4.744358]"
Vino de la Tierra de Cádiz,Spain,
Central Valley,US,"[40.19987769999999, -122.2011075]"
Vin Santo di Carmignano,Italy,
Bienvenues Bâtard-Montrachet,France,"[46.9447821, 4.7539203]"
Ramandolo,Italy,"[46.2217443, 13.2616452]"
Vino de la Tierra de Zamora,Spain,"[40.7210896, -73.997855]"
Lot,France,"[36.7556578, -95.9339995]"
Garda,Italy,"[34.0445957, -118.2776766]"
Napa-Monterey-Mendocino,US,"[36.6002378, -121.8946761]"
Brindisi,Italy,"[40.6327278, 17.9417616]"
Western Plains,Australia,"[38.91811209999999, -101.4490863]"
Vino de la Tierra de Castelló,Spain,"[38.558417, -122.542601]"
Kangaroo Island,Australia,"[-35.7752426, 137.2142417]"
Burgundy,France,"[47.0525047, 4.3837215]"
Casorzo,Italy,"[45.02123479999999, 8.3371719]"
Rosso di Cerignola,Italy,"[41.2656157, 15.8936429]"
Dolcetto d'Asti,Italy,"[44.90075119999999, 8.2064257]"
Sant' Agata dei Goti,Italy,"[41.0895812, 14.4998955]"
McLaren Vale-Langhorne Creek,Australia,"[-35.2210309, 138.5461247]"
Mentrida,Spain,"[40.2394809, -4.1936206]"
Monreale,Italy,"[38.0814986, 13.2889834]"
Monferrato Bianco,Italy,"[45.1042133, 8.377758199999999]"
Béarn,France,"[43.47055599999999, -0.9248539999999998]"
Torgiano Rosso Riserva,Italy,"[43.0273158, 12.432391]"
Arribes del Duero,Spain,"[41.1947261, -6.556988199999999]"
Finca Élez,Spain,"[5.634376400000001, -73.52333]"
Moulis,France,"[45.06023700000001, -0.7675419]"
Lime Kiln Valley,US,"[48.0708444, -117.7244198]"
Mâcon Chaintré,France,"[46.26065, 4.75951]"
Vino da Mesa de Toledo,Spain,"[39.8628316, -4.027323099999999]"
Moscato di Pantelleria,Italy,"[36.785262, 11.9918779]"
Amador-Napa,US,"[32.3020593, -106.8010705]"
Hilltops,Australia,"[-33.2581632, 149.0866321]"
Polk County,US,"[27.8617347, -81.6911559]"
Barossa-Langhorne Creek,Australia,"[-34.5333333, 138.95]"
Alpilles,France,"[43.7577242, 4.8512089]"
Currency Creek-McLaren Vale,Australia,"[-35.417397, 138.798555]"
Coteaux du Lyonnais,France,"[45.6545925, 4.7073297]"
Sardinia,Italy,"[40.1208752, 9.012892599999999]"
Gippsland,Australia,"[-37.5831982, 147.4627259]"
Strathbogie Ranges,Australia,
Colline Teramane,Italy,
Vino de la Tierra Ribera del Gállego-Cinco Villas,Spain,"[42.1223567, -1.1431549]"
Monterey County-Napa County-Sonoma County,US,"[36.3136201, -121.3541631]"
Côte Roannaise,France,"[45.7702801, 4.8370926]"
Côtes de Thau,France,
Antelope Valley of the California High Desert,US,"[34.7513712, -118.2522977]"
Moscato di Trani,Italy,
Napa Valley-Paso Robles,US,"[35.6444393, -120.6893353]"
Clare Valley-Coonawarra,Australia,"[-33.8186546, 138.5969174]"
Falanghina del Molise,Italy,"[41.9110781, 15.099341]"
Corton-Bressandes,France,"[47.0369285, 4.838344]"
Medrano,Argentina,"[32.8728061, -96.87636719999999]"
Lake County-Sonoma County,US,"[38.4494698, -122.6505126]"
Valpolicella Ripasso Valpantena,Italy,"[45.5333333, 11]"
Gaillac Doux,France,"[43.9434434, 1.8887611]"
Circeo,Italy,"[41.2381661, 13.0457514]"
Gundagai,Australia,"[-35.0566492, 148.102061]"
Vin de Pays des Coteaux de Bessilles,France,
Mount Barker & Margaret River,Australia,"[-34.63, 117.666944]"
Mazoyeres-Chambertin,France,
Altos de Mendoza,Argentina,"[-32.90107, -68.842846]"
Coteaux du Languedoc-Pézenas,France,"[43.462347, 3.409159]"
Cirò Classico,Italy,
Bardolino Classico Superiore,Italy,"[45.5453076, 10.6914197]"
Vino de Calidad de Tierras de León,Spain,"[42.5987041, -5.5670839]"
Cabernet d'Anjou,France,
Valpolicella Ripasso Valpantena Superiore,Italy,"[45.5333333, 11]"
McLaren Vale-Padthaway,Australia,"[-35.1028334, 138.5568379]"
Mendocino-Amador,US,
Vallée du Paradis,France,"[43.4354561, 6.8525385]"
San Rafael,Argentina,"[37.9735346, -122.5310874]"
Sovana,Italy,"[42.6581356, 11.6455585]"
Vesuvio,Italy,"[40.82238299999999, 14.4289058]"
Dolcetto d'Alba Superiore,Italy,"[44.7009153, 8.0356911]"
Tumbarumba,Australia,"[-35.7694861, 148.0057003]"
Henty,Australia,"[-35.52, 147.035]"
Côtes de Saint-Mont,France,"[43.650862, -0.149763]"
Laudun,France,"[44.105296, 4.657439]"
Saint-Chinian-Roquebrun,France,"[43.418646, 2.945129]"
San Martino della Battaglia,Italy,"[45.4379211, 10.6029836]"
Geelong,Australia,"[-38.1499181, 144.3617186]"
Corton Perrières,France,
Alpine Valleys,Australia,"[42.7380042, -88.43384999999999]"
Chianti Colli Pisani,Italy,
Coteaux du Layon Beaulieu,France,"[47.3236158, -0.6185058999999999]"
Primitivo del Tarantino,Italy,
Napa-Amador,US,"[32.3020593, -106.8010705]"
Napa County-Sonoma County-Lake County,US,"[38.5471475, -122.5103454]"
Vin de Pays de L'Herault,France,"[43.6841, 3.58848]"
Montello e Colli Asolani,Italy,"[45.6826558, 12.1620577]"
Nasco di Cagliari,Italy,"[39.2238411, 9.1216613]"
Charentais,France,"[45.7519958, 0.1534761]"
Montefalco,Italy,"[42.88929359999999, 12.6502843]"
Santa Cruz County,US,"[37.0453988, -121.9579578]"
Sonoma-Santa Barbara-Mendocino,US,"[38.291859, -122.4580356]"
Napa-Mendocino-Sonoma,US,"[39.5500194, -123.438353]"
Vin de Pays de France,France,"[43.684106, 3.588484]"
Massachusetts,US,"[42.4072107, -71.3824374]"
Canada,Canada,"[56.130366, -106.346771]"
Frascati,Italy,"[41.8085208, 12.6761041]"
Alta Valle della Greve,Italy,"[49.0992283, 2.5097794]"
Southern Highlands,Australia,"[35.9723318, -115.1935488]"
La Romanée,France,"[47.159051, 4.954572]"
Aglianico d'Irpinia,Italy,
Lake-Sonoma-Napa,US,"[38.5471475, -122.5103454]"
Vin de Pays de Montferrand,France,
Isle St. George,US,"[41.72171489999999, -82.82018719999999]"
Clairette de Die,France,"[44.7610135, 5.355582]"
Clare Valley-Eden Valley,Australia,"[45.322971, -94.54278359999999]"
Gutturnio Classico Superiore,Italy,
Strevi,Italy,"[44.7004186, 8.5234983]"
Australia-New Zealand,Australia,"[43.6312238, -79.544304]"
Riverland,Australia,"[43.676875, -92.99580499999999]"
Sardon de Duero,Spain,"[41.6058666, -4.4284985]"
Texoma,US,"[33.7998245, -96.57833869999999]"
Capay Valley,US,"[38.709359, -122.121272]"
Fleurieu Peninsula,Australia,"[-35.5, 138.5]"
Cacc’e Mmitte di Lucera,Italy,"[41.5054806, 15.3385282]"
Sonoma-Napa-Monterey,US,"[36.6002378, -121.8946761]"
Collioure,France,"[42.52675199999999, 3.084631]"
Saint Guilhem le Désert,France,"[43.734434, 3.549015]"
Catalanesca del Monte Somma,Italy,"[40.8333333, 14.4333333]"
Hawaii,US,"[19.8967662, -155.5827818]"
San Gimignano,Italy,"[43.4676324, 11.0434909]"
Bourgogne Vézelay,France,
Vino de Calidad de Valtiendas,Spain,
Mitterberg,Italy,"[47.4604767, 13.9484203]"
Rivesaltes Rosé,France,"[42.7145043, 2.8417137]"
Offida Rosso,Italy,"[42.9408629, 13.6965046]"
Côtes de Montravel,France,"[44.816677, 0.0710167]"
Todi,Italy,"[42.7819352, 12.4065686]"
Colli del Limbara,Italy,"[40.85, 9.1666667]"
Catamarca,Argentina,"[-28.4715877, -65.7877209]"
Langhorne Creek-Limestone Coast,Australia,"[-35.29625559999999, 139.038277]"
Coda di Volpe d'Irpinia,Italy,"[41.942646, -87.66358199999999]"
Squinzano,Italy,"[40.4349907, 18.0421742]"
Barossa-Adelaide Hills,Australia,"[-35.1136345, 138.8725113]"
Monterey County-Napa County,US,"[38.176892, -122.2664335]"
Est! Est!! Est!!! di Montefiascone,Italy,"[42.533851, 12.041377]"
Terrasses du Larzac,France,"[43.93101559999999, 3.2426063]"
Apremont,France,"[46.74935199999999, -1.741805]"
San Diego County,US,"[32.7157305, -117.1610966]"
Niagara Escarpment,US,"[44.7180522, -87.5950953]"
Sonoma-Napa-Lake,US,"[38.5471475, -122.5103454]"
Sonoma County-Santa Barbara County,US,"[38.423392, -122.7028286]"
Del Veneto,Italy,"[45.76233329999999, 11.690976]"
Bardolino Superiore,Italy,"[45.4254081, 9.1408787]"
Paestum,Italy,"[40.4231513, 15.0071628]"
